City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Zarichne,51.8126,26.129,22.96,98,89,7.87,UA,1611943092
1,Mataura,-46.1927,168.8643,39.43,95,32,1.9,NZ,1611943092
2,Ushuaia,-54.8,-68.3,39.2,65,75,25.32,AR,1611942995
3,New Norfolk,-42.7826,147.0587,61.0,83,76,1.92,AU,1611942498
4,Busselton,-33.65,115.3333,64.0,80,0,3.0,AU,1611943093
5,George Town,5.4112,100.3354,78.01,83,20,3.44,MY,1611942815
6,Cape Town,-33.9258,18.4232,73.4,56,0,13.8,ZA,1611942913
7,Ol'ga,43.7444,135.2892,-3.37,78,98,11.83,RU,1611943093
8,Horsham,51.064,-0.3272,50.0,81,20,11.5,GB,1611943093
9,Peniche,39.3558,-9.3811,57.0,84,96,10.0,PT,1611943093
10,Labuan,5.2767,115.2417,78.8,83,20,4.61,MY,1611943093
11,Shagonar,51.5333,92.8,27.12,88,100,6.06,RU,1611943093
12,Barrow,71.2906,-156.7887,-16.6,76,1,11.5,US,1611943094
13,Bonavista,48.6499,-53.1147,28.99,86,100,4.61,CA,1611942639
14,Airai,-8.9266,125.4092,62.01,100,100,4.45,TL,1611943094
15,Vaini,-21.2,-175.2,75.2,100,90,14.97,TO,1611943094
16,Tasiilaq,65.6145,-37.6368,17.6,93,75,23.02,GL,1611943094
17,Hithadhoo,-0.6,73.0833,82.15,78,55,12.91,MV,1611942506
18,Loukhi,66.0764,33.0381,10.54,96,100,9.46,RU,1611943095
19,Colac,-38.3333,143.5833,57.99,98,74,8.79,AU,1611943095
20,Albany,42.6001,-73.9662,14.0,46,87,3.0,US,1611943088
21,Pevek,69.7008,170.3133,-28.17,85,5,3.29,RU,1611942510
22,Upernavik,72.7868,-56.1549,-8.5,80,40,11.65,GL,1611943095
23,Bredasdorp,-34.5322,20.0403,70.0,73,6,10.04,ZA,1611943095
24,Hermanus,-34.4187,19.2345,70.0,73,8,7.34,ZA,1611943096
